dataset,method,model,imputation,base_model,F1,missing_perc
COIL20,mnar,F-Act,,F-Act,0.9881955329153606,10.0
COIL20,mnar,F-Act,,F-Act,0.976346041614384,20.0
COIL20,mnar,F-Act,,F-Act,0.9604145056687925,30.000000000000004
COIL20,mnar,F-Act,,F-Act,0.9681877811094454,40.0
COIL20,mnar,F-Act,,F-Act,0.9764394593772288,50.0
COIL20,mnar,F-Act,,F-Act,0.9678699817223084,60.00000000000001
COIL20,mnar,F-Act,,F-Act,0.9803125,70.0
COIL20,mnar,F-Act,,F-Act,0.9838358350586611,80.0
COIL20,mnar,F-Act,,F-Act,0.9060154313162047,90.0
COIL20,mcar,F-Act,,F-Act,0.9805796467418,0.0
COIL20,mcar,F-Act,,F-Act,0.9525029318940957,20.0
COIL20,mcar,F-Act,,F-Act,0.9289048555379408,40.0
COIL20,mcar,F-Act,,F-Act,0.9122876009739044,50.0
COIL20,mcar,F-Act,,F-Act,0.8741212858868805,60.0
COIL20,mcar,F-Act,,F-Act,0.756471580901445,70.0
COIL20,mcar,F-Act,,F-Act,0.6015894243879543,80.0
COIL20,mcar,F-Act,,F-Act,0.2765890945633209,90.0
COIL20,mcar,F-Act,,F-Act,0.10971263432473204,95.0
COIL20,mcar,F-Act,,F-Act,0.037619301994301996,98.0
COIL20,mnar,F-Act,,F-Act,0.980094581125656,0.0
COIL20,mnar,F-Act,,F-Act,0.9726837841732543,10.0
COIL20,mnar,F-Act,,F-Act,0.9720109169745484,20.0
COIL20,mnar,F-Act,,F-Act,0.9807199758220423,30.000000000000004
COIL20,mnar,F-Act,,F-Act,0.9766060697115384,40.0
COIL20,mnar,F-Act,,F-Act,0.9921875,50.0
COIL20,mnar,F-Act,,F-Act,0.9651745760781086,60.00000000000001
COIL20,mnar,F-Act,,F-Act,0.9680819224552388,70.0
COIL20,mnar,F-Act,,F-Act,0.8959778144634148,80.0
COIL20,mnar,F-Act,,F-Act,0.7883162328063791,90.0
USPS,mcar,F-Act,,F-Act,0.9604545134248995,0.0
USPS,mcar,F-Act,,F-Act,0.9103978241814625,20.0
USPS,mcar,F-Act,,F-Act,0.804379753871509,40.0
USPS,mcar,F-Act,,F-Act,0.7183769160467067,50.0
USPS,mcar,F-Act,,F-Act,0.6193044683556097,60.0
USPS,mcar,F-Act,,F-Act,0.4985507291277829,70.0
USPS,mcar,F-Act,,F-Act,0.3270575286088921,80.0
USPS,mcar,F-Act,,F-Act,0.15135479275550193,90.0
USPS,mcar,F-Act,,F-Act,0.08498695540969399,95.0
USPS,mcar,F-Act,,F-Act,0.03629679107368977,98.0
USPS,mnar,F-Act,,F-Act,0.9564753866280624,0.0
USPS,mnar,F-Act,,F-Act,0.9559450065132115,10.0
USPS,mnar,F-Act,,F-Act,0.9564880862482071,20.0
USPS,mnar,F-Act,,F-Act,0.9615483836331971,30.000000000000004
USPS,mnar,F-Act,,F-Act,0.9537412951320696,40.0
USPS,mnar,F-Act,,F-Act,0.9503562533619664,50.0
USPS,mnar,F-Act,,F-Act,0.9542258862188918,60.00000000000001
USPS,mnar,F-Act,,F-Act,0.9542792221938797,70.0
USPS,mnar,F-Act,,F-Act,0.9265550632672104,80.0
USPS,mnar,F-Act,,F-Act,0.6888110246055241,90.0
USPS,mcar,F-Act,,F-Act,0.9586282008231052,0.0
USPS,mcar,F-Act,,F-Act,0.8986727641191885,20.0
USPS,mcar,F-Act,,F-Act,0.7650660623142951,40.0
USPS,mcar,F-Act,,F-Act,0.6732567165140664,50.0
USPS,mcar,F-Act,,F-Act,0.5605530055736406,60.0
USPS,mcar,F-Act,,F-Act,0.4212443651707199,70.0
USPS,mcar,F-Act,,F-Act,0.27126369038095066,80.0
USPS,mcar,F-Act,,F-Act,0.14015802673175407,90.0
